minta1.cm_minta2.cm
51,43_51,99
51,87_50,1
51,57_50,39
49,24_51,65
50,59_51,63
52,43_50,25
50,91_50,81
53,16_51,12
50,61_52,85
50,41_51,01
50,7_50,15
50,39_51,21
51,03_48,67
48,91_51,08
50,54_48,73
51,22_53,97
51,29_52,21
50,8_50,96
50,66_52,82
51,11_52,24
50,12_48,96
50,82_48,15
50,08_53,64
50,79_51,29
51,93_49,14
51,68_50,48
52,1_50,48
49,35_53,77
52,24_52,75
52,19_51,18
51,26_51,82
51,83_53,72
50,37_50,58
50,61_50,96
51,23_47,08
51,33_50,74
51,3_47,64
51,94_51,29
52,55_51
51,77_50,92
50,83_50,88
47,44_49,22
51,38_50,7
51,56_51,6
52,2_49,35
50,99_53,29
51,18_53,98
51,29_49,17
52,48_48,44
51,98_49,95
50,63_49,07
50,14_49,82
51,82_49,73
49,96_53,2
49,56_52,45
51,35_49,44
51,8_49,93
50,73_51,22
52,09_49,34
50,87_49,69
48,78_49,41
50,97_51,12
51,84_50,11
50,49_50,4
50,96_51,14
49,93_50,78
53,33_48,58
49,78_51,11
52,48_51,02
50,57_52,53
50,02_53,46
50,55_51,25
50,05_51,28
51,58_50,34
51,82_50,05
50,95_50,4
51,63_49,09
48,97_53
49,91_52
50,48_51,57
51_51,31
51,68_49,67
51,57_52,16
50,64_49,54
50,46_51,31
51,07_53,03
50,73_51,51
51,04_51,19
50,11_51,53
50,8_49,94
51,43_52,65
49,31_50,18
51,92_50,89
51,58_48,57
51,01_50,57
50,68_50,53
50,99_51,65
51,07_51,09
53,07_50,22
49,06_50
